DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,FREQUENCY,SCALE,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,OVERLAP,COUNTRY_UPDATE_DATE,DOI,FULL_DESCRIPTION,AUTHOR,PUBLISHER,DEPARTMENT,CONTACT_POINT,TOPIC,TOPIC_DATASET,KEYWORDS,KEYWORDS_DATASET,LANGUAGE,PUBLICATION_DATE,UPDATE_DATE,METHODOLOGY,METHODOLOGY_NOTES,ACCESS_SHARING_LEVEL,ACCESS_SHARING_NOTES,SECURITY_CLASSIFICATION,SHORT_SOURCE_CITATION,FULL_SOURCE_CITATION,LICENSE,SUGGESTED_CITATION,KEY_INDICATOR,SERIES_NAME,LATEST_ACTUAL_ANNUAL_DATA,HISTORICAL_DATA_SOURCE,BASE_YEAR,START_END_MONTHS_OF_REPORTING_YEAR,CHAIN_WEIGHTED,BASIS_OF_PROJECTIONS,VALUATION,PRICES_SECTOR_HARMONIZED_PRICES,LABOR_SECTOR_EMPLOYMENT_TYPE,FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION,FISCAL_SECTOR_VALUATION_OF_DEBT,FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT,TRADE_SECTOR_OIL_COVERAGE,PRIMARY_DOMESTIC_CURRENCY,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
IMF.RES:WEO(9.0.0),GHA.BCA.A,OBS_VALUE,Ghana,"Current account balance (credit less debit), US dollar",Annual,Billions,Three,,Current account balance,,,,,,,,,,,,,,US dollar,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Balance of payments; Current account,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,"Balance of Payments Manual, fifth edition (BPM5)",Official Reserves include foreign assets held by Ghana Petroleum and Stabilization Fund and exclude encumbered assets. Data prior to 2005 excludes exceptional financing. Manual used: Migration not complete.,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Current account balance (credit less debit), US dollar",2023,Central Bank,,,,,,,,,,,,Ghanaian cedi,-0.054,-0.508,-0.19,-0.155,-0.073,-0.152,-0.084,-0.096,-0.071,-0.078,-0.162,-0.244,-0.367,-0.55,-0.254,-0.144,-0.307,-0.405,-0.522,-0.965,-0.386,-0.427,-0.105,0.102,-0.59,-1.105,-1.04,-2.156,-3.406,-1.398,-2.77,-3.541,-4.911,-5.704,-3.694,-2.824,-2.841,-2.002,-2.043,-1.526,-1.774,-2.157,-1.701,-1.289,0.924,2.025,1.899,0.975,0.389,0.431,-0.103
IMF.RES:WEO(9.0.0),GHA.PCPIPCH.A,OBS_VALUE,Ghana,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,Three,,,,,,,,,,,Consumer price index (CPI),,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Consumer prices,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"All Items, Consumer price index (CPI), Period average, percent change",2024,National Statistics Office,2012,,,,,No,,,,,,Ghanaian cedi,50.005,116.504,22.485,122.245,40.03,10.301,24.539,39.758,31.369,25.237,37.241,18.097,10.049,24.942,24.874,59.317,44.487,24.825,19.208,12.471,25.113,32.932,14.846,26.626,12.666,15.095,11.683,10.729,16.505,13.139,6.698,7.676,7.072,11.666,15.486,17.153,17.455,12.372,9.837,7.208,9.918,9.976,31.921,39.21,22.875,16.645,9.876,8,8,8,8
IMF.RES:WEO(9.0.0),GHA.TMG_RPCH.A,OBS_VALUE,Ghana,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",Annual,Units,Three,,,,,,Imports of goods,,,,,,Volume,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Imports,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,"Methodology used to derive volumes: Weighted average of volume changes. Trade system: General trade. Valuation of exports: Free on board (FOB). Valuation of imports: Cost, insurance, freight (CIF).",Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Imports of goods, Volume, Cost insurance freight (CIF), Percent change",2023,Central Bank,2011,,No,,,,,,,,SECONDARY_OR_REFINED_PRODUCTS,Ghanaian cedi,-7,-5.5,-3.5,-3.4,9.172,27.621,20.012,-0.598,20.953,-9.493,-7.35,22.628,4.967,12.273,7.099,4.234,13.201,0.883,36.583,9.619,-7.627,11.264,-4.341,9.448,21.18,15.743,26.344,21.66,24.748,-20.991,35.046,49.337,10.706,-1.135,-16.545,-8.545,-3.653,-2.54,4.23,2.127,-1.232,9.619,4.08,-3.379,11.96,5.025,6.759,4.648,5.604,4.501,4.458
IMF.RES:WEO(9.0.0),GHA.GGXWDG.A,OBS_VALUE,Ghana,"Gross debt, General government, Domestic currency",Annual,Billions,Three,,,,Gross debt,,,,,General government,,,,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Fiscal sector,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,Government Finance Statistics Manual (GFSM) 2001,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross debt, General government, Domestic currency",2023,Ministry of Finance or Treasury,,January/December,,Staff estimates,Commitments Basis,,,Central Government,Face value,FACE_VALUE,,Ghanaian cedi,,,,,,,,,,,0.092,0.113,0.165,0.322,0.649,0.895,1.166,1.574,1.61,2.64,5.011,5.426,6.524,8.029,7.507,7.578,4.899,7.179,10.078,13.258,21.395,25.453,36.093,53.438,79.518,98.912,122.846,149.753,191.251,224.363,309.982,401.098,569.632,702.139,827.442,832.736,894.815,969.291,1050.516,1142.665,1249.811
IMF.RES:WEO(9.0.0),GHA.TXG_RPCH.A,OBS_VALUE,Ghana,"Exports of goods, Volume, Free on board (FOB), Percent change",Annual,Units,Three,,,,,,Exports of goods,,,,,,Volume,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Exports,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,"Methodology used to derive volumes: Weighted average of volume changes. Trade system: General trade. Valuation of exports: Free on board (FOB). Valuation of imports: Cost, insurance, freight (CIF).",Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Exports of goods, Volume, Free on board (FOB), Percent change",2023,Central Bank,2011,,No,,,,,,,,SECONDARY_OR_REFINED_PRODUCTS,Ghanaian cedi,-14.8,-9.8,-6.3,1.3,7.165,18.862,13.119,10.77,8.219,11.261,7.095,15.444,5.761,18.773,5.129,6.829,15.878,-0.967,21.131,8.171,-0.265,-5.825,-2.044,-0.253,13.76,-0.285,11.567,3.612,8.04,-0.634,12.961,37.577,6.286,8.399,3.661,-8.669,5.007,31.578,1.241,5.123,-6.368,-10.307,3.797,-6.058,2.32,-2.206,5.231,0.913,4.384,8.878,3.356
IMF.RES:WEO(9.0.0),GHA.TM_RPCH.A,OBS_VALUE,Ghana,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",Annual,Units,Three,,,,,,Imports of goods and services,,,,,,Volume,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Imports,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,,"Methodology used to derive volumes: Weighted average of volume changes. Trade system: General trade. Valuation of exports: Free on board (FOB). Valuation of imports: Cost, insurance, freight (CIF).",Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",2023,Central Bank,2011,,No,,,,,,,,SECONDARY_OR_REFINED_PRODUCTS,Ghanaian cedi,9.4,-5.5,-3.5,-3.4,10.121,25.809,21.298,1.177,19.268,-8.236,-4.936,21.074,6.241,11.795,5.982,4.487,11.357,1.205,36.295,8.552,-7.04,10.12,-3.53,14.297,22.305,17.312,26.795,24.539,25.99,-15.568,30.331,47.187,11.283,1.867,-14.686,0.423,-2.902,8.03,8.122,10.527,-7.325,13.477,8.861,-1.097,11.552,6.491,6.106,4.063,5.083,5.257,4.573
IMF.RES:WEO(9.0.0),GHA.NGDP_R.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Constant prices, Domestic currency",Annual,Billions,Three,,,Gross domestic product (GDP),,,,,,,,,Constant prices,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Real GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Constant prices, Domestic currency",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,27.39,26.362,24.173,22.669,24.795,26.39,28.023,29.889,31.823,33.268,34.464,36.109,37.724,39.525,40.911,42.643,44.674,47.264,49.632,51.88,53.746,55.803,58.38,61.364,64.68,68.71,72.707,75.669,82.481,87.167,93.947,107.057,116.073,124.478,128.033,130.748,135.159,146.146,155.207,165.308,166.157,174.592,181.257,186.926,197.553,205.507,215.357,226.01,237.298,249.163,261.621
IMF.RES:WEO(9.0.0),GHA.GGXCNL_NGDP.A,OBS_VALUE,Ghana,"Net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,Three,,,,Net lending (+) / net borrowing (-),,,,,General government,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Fiscal sector,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,Government Finance Statistics Manual (GFSM) 2001,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Net lending (+) / net borrowing (-), General government, Percent of GDP",2023,Ministry of Finance or Treasury,,January/December,,Staff estimates,Commitments Basis,,,Central Government,Face value,FACE_VALUE,,Ghanaian cedi,-4.73,-3.801,-2.034,-1.134,-0.976,-1.19,-1.261,-0.925,-1.075,-0.812,-1.927,-1.473,-4.501,-5.388,-4.994,-4.521,-5.613,-6.142,-5.271,-5.644,-3.98,-3.637,-2.726,-1.994,-2.024,-1.874,-3.108,-4.915,-5.557,-5.046,-7.128,-5.465,-8.357,-9.117,-7.812,-4.007,-6.746,-3.966,-6.791,-7.519,-17.443,-12.032,-11.76,-3.366,-7.314,-2.728,-1.906,-1.703,-1.924,-2.095,-2.513
IMF.RES:WEO(9.0.0),GHA.NGDP.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Current prices, Domestic currency",Annual,Billions,Three,,,Gross domestic product (GDP),,,,,,,,,Current prices,,,,Domestic currency,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Nominal GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Current prices, Domestic currency",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,0.011,0.017,0.02,0.044,0.065,0.087,0.135,0.195,0.274,0.37,0.518,0.654,0.772,0.943,1.284,1.882,2.72,3.486,4.283,5.11,6.729,9.393,12.068,16.287,19.568,23.911,28.334,34.088,43.465,52.218,64.983,81.526,101.749,124.478,158.684,183.525,219.595,262.798,308.587,356.544,391.941,461.695,614.336,887.748,1176.22,1409.476,1595.9,1806.138,2046.872,2319.675,2626.687
IMF.RES:WEO(9.0.0),GHA.GGX_NGDP.A,OBS_VALUE,Ghana,"Expenditure, General government, Percent of GDP",Annual,Units,Three,,,,Expenditure,,,,,General government,,,,,,,Percent,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Fiscal sector,Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,Government Finance Statistics Manual (GFSM) 2001,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",,"Expenditure, General government, Percent of GDP",2023,Ministry of Finance or Treasury,,January/December,,Staff estimates,Commitments Basis,,,Central Government,Face value,FACE_VALUE,,Ghanaian cedi,7.505,5.741,4.728,3.486,4.641,6.076,7.292,7.324,7.23,7.242,6.59,7.085,9.204,12.098,12.703,12.969,12.435,11.968,11.787,11.106,11.983,13.784,10.654,12.124,13.746,12.884,14.372,16.802,16.631,16.568,18.968,19.499,22.053,21.564,20.966,18.623,19.891,17.582,20.895,22.491,31.511,27.214,27.493,18.536,23.178,18.869,18.952,18.871,19.024,19.195,19.613
IMF.RES:WEO(9.0.0),GHA.NGDPD.A,OBS_VALUE,Ghana,"Gross domestic product (GDP), Current prices, US dollar",Annual,Billions,Three,,,Gross domestic product (GDP),,,,,,,,,Current prices,,,,US dollar,,Overlapping Indicator,9/26/2025,,"The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.",,International Monetary Fund (IMF),Research Department (RES),datahelp@imf.org,Gross domestic product (GDP),Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO),Nominal GDP,Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account,English,2025-10-14T13:00:00Z,2025-11-19T21:00:00Z,System of National Accounts (SNA) 2008,,Public (Unrestricted),,Public or Unrestricted,IMF staff calculations.,,© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm,"International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].",TRUE,"Gross domestic product (GDP), Current prices, US dollar",2023,National Statistics Office,2013,January/December,No,,,,,,,,,Ghanaian cedi,38.684,61.487,70.954,49.337,17.998,15.97,15.086,12.692,13.566,13.723,15.882,17.795,17.666,14.532,13.433,15.692,16.629,17.024,18.528,19.165,12.349,13.113,15.229,18.79,21.754,26.415,30.963,36.544,41.323,37.127,45.447,53.625,55.8,62.846,54.678,49.437,56.144,60.385,67.259,68.353,70.008,79.514,73.919,80.547,82.825,111.963,113.494,117.237,121.933,128.129,135.908
